Bacteria,,,,,,Fungi,,,,
Days,group,Sample,Inheritance,SumGroup,,Days,group,Sample,Inheritance,SumGroup
90,Early successional,B2_G_90_7B,Non-inherited,0.156836234,,90,Early successional,B2_G_90_4F,Inherited,0.856731394
90,Early successional,B2_G_90_7B,Transient,0,,90,Early successional,B2_G_90_4F,Non-inherited,0.005946297
90,Early successional,B2_G_90_8B,Inherited,0.078532346,,90,Early successional,B2_G_90_4F,Transient,0.008083247
90,Early successional,B2_G_90_8B,Non-inherited,0.091728355,,90,Early successional,B2_G_90_5F,Inherited,0.872881356
90,Early successional,B2_G_90_8B,Transient,0.083360154,,90,Early successional,B2_G_90_5F,Non-inherited,0.098613251
90,Early successional,B2_G_90_9B,Inherited,0.323013416,,90,Early successional,B2_G_90_5F,Transient,0.010785824
90,Early successional,B2_G_90_9B,Non-inherited,0.059649123,,90,Early successional,B2_G_90_6F,Inherited,0.949119953
90,Early successional,B2_G_90_9B,Transient,0.028895769,,90,Early successional,B2_G_90_6F,Non-inherited,0.016047922
90,Early successional,C3_G_90_1B,Inherited,0.092020592,,90,Early successional,B2_G_90_6F,Transient,0.006064191
90,Early successional,C3_G_90_1B,Non-inherited,0.465250965,,90,Early successional,B2_G_90_7F,Inherited,0.588628762
90,Early successional,C3_G_90_1B,Transient,0.007722008,,90,Early successional,B2_G_90_7F,Non-inherited,0.057190635
90,Early successional,C3_G_90_2B,Inherited,0.083413231,,90,Early successional,B2_G_90_7F,Transient,0
90,Early successional,C3_G_90_2B,Non-inherited,0.388302972,,90,Early successional,B2_G_90_8F,Inherited,0.938783593
90,Early successional,C3_G_90_2B,Transient,0.075743049,,90,Early successional,B2_G_90_8F,Non-inherited,0.001527581
90,Early successional,C3_G_90_3B,Inherited,0.19890055,,90,Early successional,B2_G_90_8F,Transient,0.00718529
90,Early successional,C3_G_90_3B,Non-inherited,0.109445277,,90,Early successional,B2_G_90_9F,Inherited,0.963111712
90,Early successional,C3_G_90_3B,Transient,0.006496752,,90,Early successional,B2_G_90_9F,Non-inherited,0.00301217
90,Early successional,C3_G_90_4B,Inherited,0.048555777,,90,Early successional,B2_G_90_9F,Transient,0.006373599
90,Early successional,C3_G_90_4B,Non-inherited,0.106822711,,90,Early successional,C3_G_90_1F,Inherited,0.987723309
90,Early successional,C3_G_90_4B,Transient,0.006972112,,90,Early successional,C3_G_90_1F,Non-inherited,0.007747016
90,Early successional,C3_G_90_5B,Inherited,0.063328424,,90,Early successional,C3_G_90_1F,Transient,0.001354703
90,Early successional,C3_G_90_5B,Non-inherited,0.405007364,,90,Early successional,C3_G_90_2F,Inherited,0.850104095
90,Early successional,C3_G_90_5B,Transient,0.013254786,,90,Early successional,C3_G_90_2F,Non-inherited,0.066273422
90,Early successional,C3_G_90_6B,Inherited,0.123115578,,90,Early successional,C3_G_90_2F,Transient,0.056557946
90,Early successional,C3_G_90_6B,Non-inherited,0.341206033,,90,Early successional,C3_G_90_3F,Inherited,0.85910518
90,Early successional,C3_G_90_6B,Transient,0.06080402,,90,Early successional,C3_G_90_3F,Non-inherited,0.038854003
90,Early successional,C3_G_90_7B,Inherited,0.195928753,,90,Early successional,C3_G_90_3F,Transient,0.020800627
90,Early successional,C3_G_90_7B,Non-inherited,0.13740458,,90,Early successional,C3_G_90_4F,Inherited,0.936006826
