OTU,Phylum,Class,Order,Family,Genus,Species,total,number,OTU_id
AM490653.1.1511,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfomonile,unidentified,399,B2067,B2067_Desulfomonile
EU434651.1.1496,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 11,unidentified,399,B2068,B2068_Clostridium.sensu.stricto.11
FPLL01004464.10.1549,Planctomycetes,Pla4 lineage,metagenome,metagenome,metagenome,metagenome,399,B2069,B2069_metagenome
FQ658588.1.1378,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella,unidentified,399,B2070,B2070_Smithella
KF712834.1.1503,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,unidentified,399,B2071,B2071_Chthoniobacter
KM253067.1.1412,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,unidentified,399,B2072,B2072_Burkholderia.Caballeronia.Paraburkholderia
AB600419.1.1391,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,unidentified,unidentified,398,B2073,B2073_f_Burkholderiaceae
e41772afda9fa0f5578cd892bbd1c2d9,Chloroflexi,Dehalococcoidia,vadinBA26,uncultured bacterium,uncultured bacterium,uncultured bacterium,398,B2074,B2074_uncultured.bacterium
JX847617.1.1224,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unidentified,398,B2075,B2075_Bacillus
KJ957651.1.1459,Acidobacteria,Subgroup 18,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,398,B2076,B2076_uncultured.bacterium
cbb9cb764b88c56795c125925c386e2b,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,397,B2077,B2077_o_NA
DQ532183.1.1516,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,Luteibacter anthropi,397,B2078,B2078_Luteibacter
EU266783.1.1493,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,uncultured Thiotrichaceae bacterium,397,B2079,B2079_Sulfurifustis
GU359085.1.1439,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured Conexibacter sp.,uncultured Conexibacter sp.,397,B2080,B2080_uncultured.Conexibacter.sp.
KP762237.1.1201,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,unidentified,396,B2081,B2081_Brevundimonas
KX097282.1.1473,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 12,uncultured Clostridiales bacterium,396,B2082,B2082_Clostridium.sensu.stricto.12
FPLM01006277.2.1421,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus,unidentified,395,B2083,B2083_Syntrophus
AB488371.1.1339,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 8,uncultured bacterium,394,B2084,B2084_Clostridium.sensu.stricto.8
EU134878.1.1291,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,uncultured Gemmatimonadaceae bacterium,394,B2085,B2085_Gemmatimonas
HM061943.1.1416,Acidobacteria,Acidobacteriia,Acidobacteriales,uncultured,unidentified,unidentified,394,B2086,B2086_f_uncultured
AM935000.1.1343,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,unidentified,unidentified,393,B2087,B2087_f_Microbacteriaceae
GU179689.1.1340,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,unidentified,393,B2088,B2088_Novosphingobium
KF494338.1.1474,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,unidentified,393,B2089,B2089_Rubrobacter
